Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.81     0.00    50843     0.00     0.00  std::atomic_flag_test_and_set_explicit(std::atomic_flag*, std::memory_order)
  0.00      0.81     0.00    50839     0.00     0.00  int std::atomic_load_explicit<int>(std::atomic<int> const*, std::memory_order)
  0.00      0.81     0.00    50835     0.00     0.00  std::atomic_flag_clear_explicit(std::atomic_flag*, std::memory_order)
  0.00      0.81     0.00    50816     0.00     0.00  context_pool::spin_unlock(std::atomic_flag*)
  0.00      0.81     0.00    49897     0.00     0.00  EventPoll::handle_client_data(req_context*)
  0.00      0.81     0.00    49879     0.00     0.00  ThreadPool::busy()
  0.00      0.81     0.00    49878     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>*)
  0.00      0.81     0.00    49856     0.00     0.00  std::mutex::unlock()
  0.00      0.81     0.00    49829     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, false, true>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true>*)
  0.00      0.81     0.00    49828     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.81     0.00    49802     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.00      0.81     0.00    49727     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  0.00      0.81     0.00    49586     0.00     0.00  HTTPBuilder::http_resp_add_status(int)
